ASC_1	ERR975346	ERX1052323	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:176-3	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804440	ERP011282	SAMEA3497291	PRJEB10091	-
ASC_2	ERR975347	ERX1052324	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:176-4	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804441	ERP011282	SAMEA3497292	PRJEB10091	-
ASC_SB_1	ERR975348	ERX1052325	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:176-5	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804442	ERP011282	SAMEA3497293	PRJEB10091	-
ASC_SB_2	ERR975349	ERX1052326	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:177-6	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804443	ERP011282	SAMEA3497294	PRJEB10091	-
CMC	SRR3192364	SRX1603349	GSM2072318	SRA358262	GSE78535	SRS1313250	SRP013565	SAMN04284236	PRJNA30709	-
Chon_1	SRR3192535	SRX1603512	GSM2072460	SRA358346	GSE78607	SRS1313318	SRP013565	SAMN04284240	PRJNA30709	-
Chon_2	SRR3192536	SRX1603513	GSM2072461	SRA358346	GSE78607	SRS1313317	SRP013565	SAMN04284243	PRJNA30709	-
ESC_A	SRR3192609	SRX1603585	GSM2072548	SRA358383	GSE78651	SRS1313397	SRP013565	SAMN04284347	PRJNA30709	-
ESC_B	SRR3192608	SRX1603584	GSM2072547	SRA358383	GSE78651	SRS1313398	SRP013565	SAMN04284459	PRJNA30709	-
HDF_1	SRR3192539	SRX1603516	GSM2072466	SRA358348	GSE78610	SRS1313335	SRP013565	SAMN04284388	PRJNA30709	-
HDF_2	SRR3192540	SRX1603517	GSM2072467	SRA358348	GSE78610	SRS1313333	SRP013565	SAMN04284387	PRJNA30709	-
HEP_1	SRR1542476	SRX673854	Primary human hepatocytes	SRA178645	Primary human hepatocyte RNA-seq	SRS677636	SRP045406	SAMN02980834	PRJNA257933	-
HEP_2	SRR1542481	SRX689200	Control-mock-treated-run2	SRA178645	Primary human hepatocyte RNA-seq	SRS677636	SRP045406	SAMN02980834	PRJNA257933	-
HSC	SRR3192523	SRX1603502	GSM2072457	SRA358340	GSE78605	SRS1313328	SRP013565	SAMN04284395	PRJNA30709	-
KiEC_1	SRR3192604	SRX1603580	GSM2072539	SRA358381	GSE78647	SRS1313384	SRP013565	SAMN04284227	PRJNA30709	-
KiEC_2	SRR3192605	SRX1603581	GSM2072540	SRA358381	GSE78647	SRS1313401	SRP013565	SAMN04284506	PRJNA30709	-
MB_1	SRR3192610	SRX1603586	GSM2072543	SRA358384	GSE78649	SRS1313396	SRP013565	SAMN04284352	PRJNA30709	-
MB_2	SRR3192611	SRX1603587	GSM2072544	SRA358384	GSE78649	SRS1313395	SRP013565	SAMN04284467	PRJNA30709	-
MCSC_1	SRR5048183	SRX2370558	GSM2400242	SRA497966	GSE90273	SRS1816020	SRP013565	SAMN06044612	PRJNA30709	-
MCSC_2	SRR5048184	SRX2370559	GSM2400243	SRA497966	GSE90273	SRS1816021	SRP013565	SAMN06044719	PRJNA30709	-
MPC_1
MPC_1A
MPC_1B
MPC_2
MPC_2A
MPC_2B
MPC_MT_1
MPC_MT_1A
MPC_MT_1B
MPC_MT_2
MPC_MT_2A
MPC_MT_2B
MT_1	SRR3192673	SRX1603645	GSM2072593	SRA358414	GSE78674	SRS1313421	SRP013565	SAMN04284424	PRJNA30709	-
MT_2	SRR3192674	SRX1603646	GSM2072594	SRA358414	GSE78674	SRS1313420	SRP013565	SAMN04284333	PRJNA30709	-
NSC_A	SRR5164629	SRX2481655	GSM2452280	SRA526102	GSE93385	SRS1913267	SRP096367	SAMN06215768	PRJNA360845	-
NSC_B	SRR5164630	SRX2481656	GSM2452281	SRA526102	GSE93385	SRS1913270	SRP096367	SAMN06215767	PRJNA360845	-
NSC_C	SRR5164631	SRX2481657	GSM2452282	SRA526102	GSE93385	SRS1913268	SRP096367	SAMN06215766	PRJNA360845	-
QSC_1	ERR975344	ERX1052321	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:175-1	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804438	ERP011282	SAMEA3497289	PRJEB10091	-
QSC_2	ERR975345	ERX1052322	ena-EXPERIMENT-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-05:10:38:176-2	ERA462794	ena-SUBMISSION-STANFORD UNIVERSITY SCHOOL OF MEDICINE-04-08-2015-03:53:55:234-1	ERS804439	ERP011282	SAMEA3497290	PRJEB10091	-
SC_1	SRR3192524	SRX1603503	GSM2072468	SRA358341	GSE78611	SRS1313327	SRP013565	SAMN04284393	PRJNA30709	-
SC_2	SRR3192525	SRX1603504	GSM2072469	SRA358341	GSE78611	SRS1313326	SRP013565	SAMN04284394	PRJNA30709	-
SMC	SRR3192366	SRX1603351	GSM2072316	SRA358263	GSE78534	SRS1313248	SRP013565	SAMN04284234	PRJNA30709	-
